,model_name,model_timeMillis,model_timeDeterminization,model_timeMinimization,model_timeEigen,model_netSize,model_automatonSizeOrig,model_automatonSizeDeterministic,model_automatonSize,model_entropy,model_largestEigenValue,model_entropyComputationConverged,model_convergenceThreshold,logModel_name,logModel_timeMillis,logModel_timeDeterminization,logModel_timeMinimization,logModel_timeEigen,logModel_netSize,logModel_automatonSizeOrig,logModel_automatonSizeDeterministic,logModel_automatonSize,logModel_entropy,logModel_largestEigenValue,logModel_entropyComputationConverged,logModel_convergenceThreshold,log_name,log_timeMillis,log_timeDeterminization,log_timeMinimization,log_timeEigen,log_netSize,log_automatonSizeOrig,log_automatonSizeDeterministic,log_automatonSize,log_entropy,log_largestEigenValue,log_entropyComputationConverged,log_convergenceThreshold,type,Precision,Recall,logSize,source
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,5,5,5,5,1.0398173866263016,2.055967396712816,True,1e-07,MdM,0,0,0,2,8,8,8,8,0.3790866865097951,1.3005182878057586,True,1e-07,05fc8084-7d0b-4034-9a89-774806a29615,0,0,0,3,8,8,8,8,0.37908668650980304,1.3005182878057655,True,1e-07,md-m,0.6325578362210864,0.9999999999999947,300,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,11,5,5,5,1.039817386626301,2.0559673967128145,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,2,10,10,10,0.1189416209265854,1.0859379126404929,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,2,10,10,10,0.1189416209265854,1.0859379126404929,True,1e-07,log-model,0.5281882944139804,1.0,2,Figure 11.pnml
1,a2c0c024-68eb-4381-ab5f-8509e2f7658b,0,0,0,1,23,8,8,8,0.537307287688402,1.4512612871778665,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,1,0,0,2,10,10,10,0.1189416209300023,1.085937912643065,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,1,0,0,2,10,10,10,0.1189416209300023,1.085937912643065,True,1e-07,log-md,0.7482718117250877,1.0,2,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,5,5,5,5,1.039817386626304,2.055967396712819,True,1e-07,MdM,0,0,0,1,8,8,8,8,0.5373072876884186,1.4512612871778832,True,1e-07,a2c0c024-68eb-4381-ab5f-8509e2f7658b,0,0,0,0,8,8,8,8,0.5373072876884256,1.4512612871778905,True,1e-07,md-m,0.7058775783595744,0.999999999999995,2,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,1,0,0,11,5,5,5,1.0398173866263047,2.05596739671282,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,1,0,170,9,12,12,12,0.4187347869391771,1.3367547349407127,True,2.25e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,1,0,170,9,12,12,12,0.4187347869391771,1.3367547349407127,True,2.25e-07,log-model,0.6501828468087485,1.0,9,Figure 11.pnml
1,790e6ef6-fffa-4de5-b1c4-054a3a137b6f,0,0,1,3,20,8,8,8,0.37908668650980093,1.3005182878057642,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,9,7,7,7,0.33659812139506684,1.2627754528273178,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,238,9,12,12,12,0.4187347869391697,1.3367547349407058,True,3.375e-07,log-md,0.9709786203451809,0.9446575499755612,9,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,1,0,5,5,5,5,1.039817386626307,2.0559673967128234,True,1e-07,MdM,0,0,0,2,8,8,8,8,0.3790866865097998,1.3005182878057628,True,1e-07,790e6ef6-fffa-4de5-b1c4-054a3a137b6f,0,0,0,2,8,8,8,8,0.3790866865097966,1.30051828780576,True,1e-07,md-m,0.6325578362210861,1.0000000000000022,9,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,11,5,5,5,1.0398173866263047,2.05596739671282,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,1,4,9,10000,436,436,436,0.7914236654909937,1.730781572261685,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,1,4,9,10000,436,436,436,0.7914236654909937,1.730781572261685,True,1e-07,log-model,0.8418331803456331,1.0,10000,Figure 11.pnml
1,151df68b-5a24-410b-9e34-861baa98072a,0,1,0,1,20,8,8,8,0.3790866865097981,1.3005182878057613,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,10000,8,8,8,0.3790866865098033,1.300518287805766,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,1,3,8,10000,436,436,436,0.7914236654909877,1.7307815722616782,True,1e-07,log-md,1.0000000000000036,0.7514052082876808,10000,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,5,5,5,5,1.039817386626304,2.055967396712819,True,1e-07,MdM,0,0,0,2,8,8,8,8,0.3790866865097969,1.3005182878057602,True,1e-07,151df68b-5a24-410b-9e34-861baa98072a,0,0,0,2,8,8,8,8,0.37908668650980093,1.3005182878057642,True,1e-07,md-m,0.6325578362210862,0.9999999999999969,10000,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,0,11,5,5,5,1.0398173866263032,2.0559673967128176,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,27,75,34,34,34,0.5582775293240815,1.472510099731541,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,27,75,34,34,34,0.5582775293240815,1.472510099731541,True,1e-07,log-model,0.7162127678123024,1.0,75,Figure 11.pnml
1,c35db10a-6b67-48bf-8b1f-ed2fb360d147,0,0,0,3,20,8,8,8,0.3790866865098008,1.3005182878057635,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,4,75,8,8,8,0.3790866865097944,1.3005182878057582,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,25,75,34,34,34,0.5582775293240775,1.4725100997315368,True,1e-07,log-md,0.9999999999999959,0.8831982123877211,75,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,1,0,0,5,5,5,5,1.0398173866263036,2.0559673967128185,True,1e-07,MdM,0,0,0,2,8,8,8,8,0.3790866865097998,1.3005182878057628,True,1e-07,c35db10a-6b67-48bf-8b1f-ed2fb360d147,0,0,0,3,8,8,8,8,0.3790866865098027,1.3005182878057655,True,1e-07,md-m,0.6325578362210876,0.999999999999998,75,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,11,5,5,5,1.0398173866263027,2.055967396712817,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,5,10,10,10,0.3580199213235475,1.2816656218014322,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,5,10,10,10,0.3580199213235475,1.2816656218014322,True,1e-07,log-model,0.6233881061784456,1.0,5,Figure 11.pnml
1,ac79f264-512d-4ea0-a028-1d73fab75cf1,0,0,0,3,20,8,8,8,0.3790866865097988,1.300518287805762,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,1,5,7,7,7,0.3365981216613245,1.2627754530603703,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,0,2,5,10,10,10,0.3580199213232213,1.2816656218011422,True,1e-07,log-md,0.9709786205243823,0.9852612347405986,5,Figure 11.pnml
2,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,5,5,5,5,1.0398173866263047,2.05596739671282,True,1e-07,MdM,0,0,0,4,8,8,8,8,0.3790866865098035,1.3005182878057662,True,1e-07,ac79f264-512d-4ea0-a028-1d73fab75cf1,0,0,0,4,8,8,8,8,0.3790866865098049,1.3005182878057675,True,1e-07,md-m,0.6325578362210889,0.999999999999999,5,Figure 11.pnml
0,noID imported from (data/javert/Figure 11.pnml),0,0,0,1,11,5,5,5,1.0398173866263054,2.0559673967128207,True,1e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,189,6,12,12,12,0.38695120556300094,1.3076271215820647,True,2.25e-07,Log6 (from noID imported from (data/javert/Figure 11.pnml)),0,0,1,189,6,12,12,12,0.38695120556300094,1.3076271215820647,True,2.25e-07,log-model,0.6360154950281613,1.0,6,Figure 11.pnml
